Optimal Keyboard Layout (w_performance=0.9, w_ergonomics=0.0, w_familiarity=0.1):qwertyuiopasdfghjklzxcvbnm
Optimal Keyboard Layout (w_performance=0.85, w_ergonomics=0.05, w_familiarity=0.1):qwertyuiopasdfghjklzxcvbnm
Optimal Keyboard Layout (w_performance=0.8, w_ergonomics=0.1, w_familiarity=0.1):qwertyuiopasdgfjhklzxcvbnm
Optimal Keyboard Layout (w_performance=0.75, w_ergonomics=0.15, w_familiarity=0.1):qwertyuiopasdgfjhklzxcbvnm
Optimal Keyboard Layout (w_performance=0.7, w_ergonomics=0.2, w_familiarity=0.1):qwertyuiopasdgfjhklzvcbxnm
Optimal Keyboard Layout (w_performance=0.65, w_ergonomics=0.25, w_familiarity=0.1):qwertyuiopasdgfjhklzvcbxnm
Optimal Keyboard Layout (w_performance=0.6, w_ergonomics=0.3, w_familiarity=0.1):qwertyuiopasdgfjhklzvcbxnm
Optimal Keyboard Layout (w_performance=0.55, w_ergonomics=0.35, w_familiarity=0.1):qwertyuiopasdgfjhklxvcbznm
Optimal Keyboard Layout (w_performance=0.5, w_ergonomics=0.4, w_familiarity=0.1):qwertjuyopaisgdfhklxvcbznm
Optimal Keyboard Layout (w_performance=0.45, w_ergonomics=0.45, w_familiarity=0.1):qwertjuyopaisgdfhklxvcbznm
Optimal Keyboard Layout (w_performance=0.4, w_ergonomics=0.5, w_familiarity=0.1):wretjquyopaisgdhklnfxcvzbm
Optimal Keyboard Layout (w_performance=0.35, w_ergonomics=0.55, w_familiarity=0.1):wretjquyopaisgdhklnfxcvzbm
Optimal Keyboard Layout (w_performance=0.3, w_ergonomics=0.6, w_familiarity=0.1):wretjquyfpaiosdhglnkxcvzbm
Optimal Keyboard Layout (w_performance=0.25, w_ergonomics=0.65, w_familiarity=0.1):wretjquyfpaiosdhglnkxcvzbm
Optimal Keyboard Layout (w_performance=0.2, w_ergonomics=0.7, w_familiarity=0.1):wretjquyfpaiosdhglnkxcvzbm
Optimal Keyboard Layout (w_performance=0.15, w_ergonomics=0.75, w_familiarity=0.1):wretjquyfpaiosdhglnkxcvzbm
Optimal Keyboard Layout (w_performance=0.1, w_ergonomics=0.8, w_familiarity=0.1):wretjquyfpaiosdhglnkxcvzbm
Optimal Keyboard Layout (w_performance=0.05, w_ergonomics=0.85, w_familiarity=0.1):wretjquyfpaiosdhglnkxcvzbm
Optimal Keyboard Layout (w_performance=0.0, w_ergonomics=0.9, w_familiarity=0.1):wretjquyfpaiosdhglnkxcvzbm
